IDX1	Category0	61	32	2	962
IDX2	Category0	130	37	8	726
IDX3	Category4	136	25	1	961
IDX4	Category3	3	29	5	929
IDX5	Category0	134	12	8	776
IDX6	Category3	184	30	5	400
IDX7	Category5	34	24	5	238
IDX8	Category4	189	28	7	360
IDX9	Category4	192	31	9	898
IDX10	Category1	110	26	4	319
IDX11	Category2	159	21	8	102
IDX12	Category5	39	14	3	998
IDX13	Category5	129	36	8	435
IDX14	Category2	31	32	7	517
IDX15	Category5	27	13	7	741
IDX16	Category3	140	17	6	690
IDX17	Category1	53	31	2	187
IDX18	Category0	128	31	1	378
IDX19	Category3	194	12	4	400
IDX20	Category5	104	15	4	720
IDX21	Category3	79	14	7	128
IDX22	Category2	187	30	2	185
IDX23	Category4	5	36	4	759
IDX24	Category3	65	11	8	599
IDX25	Category0	119	40	2	935
IDX26	Category3	32	17	8	218
IDX27	Category5	181	20	8	498
IDX28	Category1	67	21	2	867
IDX29	Category1	45	34	3	835
IDX30	Category2	170	19	4	685
IDX31	Category0	55	38	8	459
IDX32	Category4	33	22	3	796
IDX33	Category4	175	13	2	795
IDX34	Category2	12	28	3	175
IDX35	Category0	118	40	4	619
IDX36	Category0	16	22	9	819
IDX37	Category1	142	31	2	420
IDX38	Category2	147	35	2	238
IDX39	Category0	12	32	8	341
IDX40	Category1	136	15	9	134
IDX41	Category1	50	33	3	814
IDX42	Category0	133	34	5	440
IDX43	Category1	59	21	6	507
IDX44	Category3	38	38	4	546
IDX45	Category0	150	35	2	893
IDX46	Category1	89	12	7	588
IDX47	Category1	115	26	6	855
IDX48	Category3	70	26	3	513
IDX49	Category0	188	37	3	426
IDX50	Category0	104	22	2	822
IDX51	Category0	155	36	8	614
IDX52	Category0	12	11	9	712
IDX53	Category4	190	32	3	307
IDX54	Category3	153	17	6	353
IDX55	Category5	153	19	6	720
IDX56	Category2	25	35	4	815
IDX57	Category1	134	32	4	850
IDX58	Category4	173	14	4	406
IDX59	Category5	80	22	3	896
IDX60	Category0	131	16	1	368
IDX61	Category1	21	35	8	232
