ID1	Category2	134	10	2	782
ID2	Category3	18	33	8	411
ID3	Category5	55	20	7	234
ID4	Category3	192	27	9	866
ID5	Category0	96	20	5	644
ID6	Category5	44	28	9	935
ID7	Category2	105	18	3	210
ID8	Category4	115	38	2	166
ID9	Category0	0	16	3	996
ID10	Category5	149	26	5	339
ID11	Category2	191	34	1	267
ID12	Category3	183	18	4	462
ID13	Category0	78	15	2	179
ID14	Category1	4	19	1	672
ID15	Category4	196	35	3	810
ID16	Category4	121	39	4	507
ID17	Category3	177	25	5	766
ID18	Category3	149	32	3	454
ID19	Category0	30	16	7	826
ID20	Category3	18	18	9	646
ID21	Category5	91	39	3	418
ID22	Category3	37	37	3	163
ID23	Category2	173	14	3	173
ID24	Category4	112	33	7	906
ID25	Category2	29	11	5	158
ID26	Category2	92	26	1	588
ID27	Category2	113	22	8	577
ID28	Category2	101	37	6	512
ID29	Category3	122	28	3	427
ID30	Category2	145	14	8	863
ID31	Category4	62	24	7	671
ID32	Category1	194	38	5	211
ID33	Category2	113	28	4	385
ID34	Category1	148	17	1	689
ID35	Category3	31	30	7	931
ID36	Category4	111	26	1	710
ID37	Category0	158	37	6	300
ID38	Category0	154	15	2	908
ID39	Category2	15	25	5	327
ID40	Category5	138	29	8	767
ID41	Category4	171	35	2	273
ID42	Category1	24	14	2	702
ID43	Category5	44	23	2	740
ID44	Category4	185	27	6	349
ID45	Category2	93	19	3	185
ID46	Category4	173	25	9	795
ID47	Category2	87	29	1	814
ID48	Category1	124	27	9	719
ID49	Category0	9	12	7	974
ID50	Category2	146	18	6	383
ID51	Category4	14	23	1	992
ID52	Category1	115	20	6	514
ID53	Category0	17	11	9	164
ID54	Category3	78	29	8	303
ID55	Category3	96	30	3	686
ID56	Category1	119	39	3	809
ID57	Category3	128	22	1	723
ID58	Category1	180	18	7	682
ID59	Category1	33	19	7	767
ID60	Category1	146	32	2	114
ID61	Category2	68	17	3	983
ID62	Category3	132	21	4	299
ID63	Category2	46	19	5	266
ID64	Category0	46	13	9	564
ID65	Category4	55	34	4	364
ID66	Category5	61	40	2	467
ID67	Category0	149	18	3	457
ID68	Category5	58	10	5	329
ID69	Category1	152	16	3	112
ID70	Category5	30	29	1	662
ID71	Category4	72	26	1	527
ID72	Category2	182	16	8	229
ID73	Category4	171	29	5	584
ID74	Category5	84	19	1	510
ID75	Category2	26	36	3	278
ID76	Category1	112	34	4	108
ID77	Category2	177	22	4	228
ID78	Category3	50	23	5	784
ID79	Category4	139	29	6	590
ID80	Category1	150	15	5	447
ID81	Category5	198	18	7	219
ID82	Category1	177	20	1	950
ID83	Category3	62	26	1	334
ID84	Category2	23	34	2	162
ID85	Category2	193	15	5	683
ID86	Category4	95	17	6	132
ID87	Category1	191	37	4	949
ID88	Category4	73	14	5	686
ID89	Category1	7	13	1	514
ID90	Category3	190	19	1	200
ID91	Category4	110	31	1	492
ID92	Category2	172	10	5	144
ID93	Category2	53	26	8	414
ID94	Category2	73	35	5	165
ID95	Category0	142	19	1	200
ID96	Category3	163	24	2	692
ID97	Category2	178	40	1	823
ID98	Category1	58	21	1	478
ID99	Category0	132	32	6	207
ID100	Category0	70	31	6	288
ID101	Category5	22	30	8	561
ID102	Category1	18	22	5	820
ID103	Category3	35	27	1	227
ID104	Category1	126	40	7	655
ID105	Category4	82	37	4	594
ID106	Category2	55	30	6	228
ID107	Category0	112	19	9	847
ID108	Category3	169	13	3	550
ID109	Category4	40	18	8	738
ID110	Category4	48	12	6	745
ID111	Category0	25	40	1	958
ID112	Category5	7	28	8	470
ID113	Category5	192	23	8	565
ID114	Category2	148	21	8	349
ID115	Category1	74	25	7	463
ID116	Category3	21	23	6	524
ID117	Category5	86	34	7	413
ID118	Category2	4	38	8	416
ID119	Category4	13	15	3	589
ID120	Category4	65	32	3	176
ID121	Category3	90	24	7	673
ID122	Category3	181	25	8	176
